county,state,# total covid cases,# covid cases per 100k,# covid deaths
Lincoln County,Idaho,1107,20629.89191203876,15
Madison County,Idaho,12674,31758.8393013757,50
Minidoka County,Idaho,4235,20129.283711203003,64
Nez Perce County,Idaho,8953,22156.503662641062,147
Oneida County,Idaho,802,17700.286912381373,11
Owyhee County,Idaho,2274,19233.69703121035,53
Payette County,Idaho,5586,23322.617009728194,87
Power County,Idaho,1470,19138.13305559172,20
Shoshone County,Idaho,2746,21316.565750659836,76
Teton County,Idaho,2723,22426.288914511613,9
Twin Falls County,Idaho,24129,27773.429406754298,295
Valley County,Idaho,2642,23191.713483146068,16
Washington County,Idaho,2394,23484.40258975868,57
Adams County,Illinois,22525,34423.47367616719,245
Alexander County,Illinois,1288,22357.22964763062,15
Bond County,Illinois,4370,26604.164130037745,43
Boone County,Illinois,14162,26449.27536231884,129
Brown County,Illinois,2430,36941.3195500152,20
Bureau County,Illinois,8461,25931.715091332597,150
Calhoun County,Illinois,1537,32433.002743194767,9
Carroll County,Illinois,4301,30066.410346032855,50
Cass County,Illinois,4640,38198.73219725035,47
Champaign County,Illinois,67086,31993.09453524028,309
Christian County,Illinois,10330,31977.464091134225,143
Clark County,Illinois,4887,31649.504565766467,61
Clay County,Illinois,4750,36028.51941747573,72
Clinton County,Illinois,12066,32122.890154943827,129
Coles County,Illinois,15526,30671.06536812785,178
Cook County,Illinois,1193914,23181.747311238152,15120
Crawford County,Illinois,6249,33476.18792521562,68
Cumberland County,Illinois,3381,31404.421326397918,50
De Witt County,Illinois,4424,28290.06266786034,55
DeKalb County,Illinois,24537,23391.51739325243,204
Douglas County,Illinois,6609,33953.24942203956,61
DuPage County,Illinois,224631,24339.13628577094,1799
Edgar County,Illinois,5209,30353.70899131752,91
Edwards County,Illinois,1749,27349.491790461296,30
Effingham County,Illinois,10711,31495.53046342037,158
Fayette County,Illinois,7155,33534.87064116985,106
Ford County,Illinois,4496,34688.68142890209,86
Franklin County,Illinois,12272,31901.01120382646,186
Fulton County,Illinois,10257,29868.957483983693,134
Gallatin County,Illinois,1415,29308.202154101076,18
Greene County,Illinois,3663,28244.274809160306,67
Grundy County,Illinois,13009,25480.863399537746,142
Hamilton County,Illinois,2181,26872.843765401678,36
Hancock County,Illinois,4420,24960.469844138246,63
Hardin County,Illinois,1059,27715.257785919915,23
Henderson County,Illinois,1166,17544.38760156485,25
Henry County,Illinois,12884,26340.645636129455,151
Iroquois County,Illinois,7294,26901.23183595191,119
Jackson County,Illinois,15840,27911.894273127753,141
Jasper County,Illinois,2691,28002.08116545265,35
Jefferson County,Illinois,11159,29612.03693875385,181
Jersey County,Illinois,6320,29026.776282551782,95
Jo Daviess County,Illinois,4105,19331.292677183894,41
Johnson County,Illinois,4538,36546.6698880567,52
Kane County,Illinois,131751,24746.479640422764,1186
Kankakee County,Illinois,29350,26715.333782381535,380
Kendall County,Illinois,32538,25225.211256686565,175
Knox County,Illinois,12722,25598.100565403733,244
LaSalle County,Illinois,29734,27361.98915974197,449
Lake County,Illinois,159179,22852.97939084181,1488
Lawrence County,Illinois,5489,35010.843219798444,54
Lee County,Illinois,9020,26454.716095729706,121
Livingston County,Illinois,10928,30655.296229802512,155
Logan County,Illinois,9922,34670.48710601719,104
Macon County,Illinois,31113,29913.757463296446,373
Macoupin County,Illinois,12975,28880.826247607176,191
Madison County,Illinois,71577,27219.108173680248,927
Marion County,Illinois,11933,32073.646015320523,225
Marshall County,Illinois,2809,24558.489246371744,36
Mason County,Illinois,3980,29792.64915038551,65
Massac County,Illinois,3887,28223.93261690386,80
McDonough County,Illinois,7303,24604.137187521057,109
McHenry County,Illinois,79189,25729.593792847998,518
McLean County,Illinois,52348,30520.589795763684,348
Menard County,Illinois,3560,29189.898327320432,25
Mercer County,Illinois,4087,26475.351428386344,52
Monroe County,Illinois,9633,27811.300054854633,128
Montgomery County,Illinois,9872,34743.43633420145,117
Morgan County,Illinois,9661,28703.428605383564,152
Moultrie County,Illinois,4100,28273.91214399007,52
Ogle County,Illinois,14285,28207.254704500127,138
Peoria County,Illinois,47902,26734.15969505355,550
Perry County,Illinois,7509,35900.745840504875,110
Piatt County,Illinois,4575,27991.923641703375,30
Pike County,Illinois,5050,32452.927189769296,84
Pope County,Illinois,960,22983.00215465645,10
Pulaski County,Illinois,1730,32427.366447985005,22
Putnam County,Illinois,1158,20177.731312075277,11
Randolph County,Illinois,10567,33248.37958592914,134
Richland County,Illinois,5167,33307.54850770322,89
Rock Island County,Illinois,33837,23849.1954411858,528
Saline County,Illinois,7935,33778.89404452769,119
Sangamon County,Illinois,56637,29093.552231445712,445
Schuyler County,Illinois,1977,29210.992907801417,29
Scott County,Illinois,1276,25772.57119773783,13
Shelby County,Illinois,6262,28945.178885088288,89
St. Clair County,Illinois,64790,24949.361921705444,799
Stark County,Illinois,1536,28753.275926619244,33
Stephenson County,Illinois,11687,26264.101757382356,184
Tazewell County,Illinois,37644,28560.80665842204,520
Union County,Illinois,5415,32516.663664204647,75
Vermilion County,Illinois,28275,37322.79099237044,318
Wabash County,Illinois,3730,32378.472222222223,34
Warren County,Illinois,4089,24275.70648302066,89
Washington County,Illinois,3455,24879.38359616908,44
Wayne County,Illinois,5320,32809.12735121801,86
White County,Illinois,4413,32599.541996010936,63
Whiteside County,Illinois,15768,28578.16039873131,274
Will County,Illinois,169447,24531.12083654847,1637
Williamson County,Illinois,22816,34259.80149255973,271
Winnebago County,Illinois,79104,27994.28110357714,867
Woodford County,Illinois,10578,27504.615304610106,139
Adams County,Indiana,7602,21248.288006261006,112
Allen County,Indiana,103712,27343.072351891253,1173
Bartholomew County,Indiana,21330,25459.84077155373,249
Benton County,Indiana,2475,28292.181069958846,21
Blackford County,Indiana,3122,26552.13471678857,69
Boone County,Indiana,15189,22388.45569918783,181
Brown County,Indiana,2586,17134.905910416113,62
Carroll County,Indiana,4222,20842.178012538876,67
Cass County,Indiana,11654,30921.489028629043,163
Clark County,Indiana,31060,26254.83930956366,395
Clay County,Indiana,6826,26028.598665395617,87
Clinton County,Indiana,9188,28358.899966048335,124
Crawford County,Indiana,2548,24090.006618133684,38
Daviess County,Indiana,7469,22395.13058079218,151
DeKalb County,Indiana,11342,26088.55664174813,149
Dearborn County,Indiana,13431,27156.375106150674,139
Decatur County,Indiana,7061,26586.091343800595,145
Delaware County,Indiana,24805,21733.03544048714,440
Dubois County,Indiana,12857,30084.706102583303,165
Elkhart County,Indiana,54150,26242.966739523406,728
Fayette County,Indiana,6871,29742.013678469397,146
Floyd County,Indiana,18913,24086.24334581391,297
Fountain County,Indiana,5404,33060.0758595375,101
Franklin County,Indiana,4400,19333.860620441163,65
Fulton County,Indiana,4914,24601.982577350554,102
Gibson County,Indiana,11631,34555.39380254909,145
Grant County,Indiana,17684,26888.047560400795,345
Greene County,Indiana,7205,22570.640937284632,139
Hamilton County,Indiana,81765,24190.04115250687,656
Hancock County,Indiana,20657,26426.414901238357,258
Harrison County,Indiana,10806,26671.603109959273,138
Hendricks County,Indiana,40758,23931.513525256738,552
Henry County,Indiana,12979,27055.365629950807,229
Howard County,Indiana,25399,30770.25586353945,445
Huntington County,Indiana,11493,31470.427163198245,155
Jackson County,Indiana,12513,28290.11326897425,130
Jasper County,Indiana,9015,26860.735355461537,147
Jay County,Indiana,4851,23737.522019964767,78
Jefferson County,Indiana,9349,28937.105360901325,154
Jennings County,Indiana,6946,25044.168018748875,108
Johnson County,Indiana,42309,26749.574816491433,610
Knox County,Indiana,10741,29351.806307044873,153
Kosciusko County,Indiana,19737,24840.163109142166,236
LaGrange County,Indiana,5849,14764.982077043469,102
LaPorte County,Indiana,25421,23133.55416423995,365
Lake County,Indiana,106154,21865.19682055148,1813
Lawrence County,Indiana,11840,26096.539563588274,258
Madison County,Indiana,32665,25210.505599333173,647
Marion County,Indiana,224957,23321.70826326844,2966
Marshall County,Indiana,12328,26650.525314540188,195
Martin County,Indiana,2164,21101.901511457825,25
Miami County,Indiana,9261,26075.571573375382,159
Monroe County,Indiana,27629,18614.03615147779,279
Montgomery County,Indiana,10665,27818.352548385414,164
Morgan County,Indiana,16468,23362.510462625374,286
Newton County,Indiana,2561,18313.787185354693,68
Noble County,Indiana,13064,27362.60053619303,156
Ohio County,Indiana,1444,24578.72340425532,19
Orange County,Indiana,5035,25628.62669245648,96
Owen County,Indiana,5835,28054.233376604643,118
Parke County,Indiana,3605,21284.761173761588,49
Perry County,Indiana,4665,24336.167770880067,68
Pike County,Indiana,3728,30091.209944305432,49
Porter County,Indiana,37589,22060.696406458166,558
Posey County,Indiana,6528,25673.496676760922,58
Pulaski County,Indiana,3070,24852.262608273293,86
Putnam County,Indiana,9323,24811.049606131575,127
Randolph County,Indiana,5935,24062.436651125074,147
Ripley County,Indiana,8283,29243.750882643697,138
Rush County,Indiana,4906,29588.082745310894,58
Scott County,Indiana,7864,32940.97934905542,106
Shelby County,Indiana,14677,32813.16371928726,181
Spencer County,Indiana,5221,25748.38486955664,60
St. Joseph County,Indiana,70553,25955.206639541473,863
Starke County,Indiana,4746,20639.269406392694,96
Steuben County,Indiana,9623,27816.962479042606,120
Sullivan County,Indiana,5276,25526.150273356234,76
Switzerland County,Indiana,2310,21486.373360617617,20
Tippecanoe County,Indiana,49917,25502.728220219484,392
Tipton County,Indiana,3528,23290.203327171905,87
Union County,Indiana,2046,29004.819960306206,21
Vanderburgh County,Indiana,57248,31550.11545816777,621
Vermillion County,Indiana,4069,26255.000645244545,74
Vigo County,Indiana,28832,26936.228255385933,410
Wabash County,Indiana,8718,28126.209833526904,154
Warren County,Indiana,2089,25275.257108287962,30
Warrick County,Indiana,20248,32140.70287945649,237
Washington County,Indiana,5990,21365.387359109714,81
Wayne County,Indiana,19198,29139.092951247647,334
Wells County,Indiana,6523,23052.728300819905,132
White County,Indiana,6853,28433.325035266782,94
Whitley County,Indiana,9649,28409.492403721586,83
Adair County,Iowa,1588,22203.579418344518,50
Adams County,Iowa,820,22765.13048306496,14
Allamakee County,Iowa,2890,21114.92657266019,60
Appanoose County,Iowa,2927,23555.448253661678,68
Audubon County,Iowa,1114,20269.28675400291,19
Benton County,Iowa,6089,23743.41976993566,77
Black Hawk County,Iowa,33140,25253.756820190814,480
Boone County,Iowa,5519,21037.584813600668,54
Bremer County,Iowa,5559,22180.99114196792,82
Buchanan County,Iowa,4619,21813.459268004724,58
Buena Vista County,Iowa,6404,32640.163098878693,58
Butler County,Iowa,3252,22522.335341782673,53
Calhoun County,Iowa,2608,26975.58957385188,25
Carroll County,Iowa,4958,24587.155963302754,66
Cass County,Iowa,2962,23075.724524774072,78
Cedar County,Iowa,4201,22553.28286895367,35
Cerro Gordo County,Iowa,11156,26280.32979976443,170
Cherokee County,Iowa,2981,26533.155318202047,62
Chickasaw County,Iowa,2701,22634.710466772813,32
Clarke County,Iowa,2271,24172.432144757848,37
Clay County,Iowa,4120,25724.275724275725,44
Clayton County,Iowa,3510,20001.139666077837,72
Clinton County,Iowa,11654,25100.691378233434,146
Crawford County,Iowa,4539,26985.73127229489,54
Dallas County,Iowa,23337,24971.911014092646,144
Davis County,Iowa,1604,17822.222222222223,32
Decatur County,Iowa,1520,19313.8500635324,26
Delaware County,Iowa,4056,23843.39545000294,68
Des Moines County,Iowa,9192,23589.19085379937,139
Dickinson County,Iowa,4140,23988.874724765326,72
Dubuque County,Iowa,26325,27052.440114683846,295
Emmet County,Iowa,2365,25684.187662901826,52
Fayette County,Iowa,4123,20982.188295165393,74
Floyd County,Iowa,3605,23046.92494565912,62
Franklin County,Iowa,2521,25034.756703078452,42
Fremont County,Iowa,1387,19928.16091954023,25
Greene County,Iowa,1745,19633.213321332132,21
Grundy County,Iowa,2576,21059.516023544802,44
Guthrie County,Iowa,2372,22191.037515202544,46
Hamilton County,Iowa,3481,23563.2572937115,72
Hancock County,Iowa,2867,26970.837253057383,47
Hardin County,Iowa,4140,24575.56690015434,62
Harrison County,Iowa,3437,24464.374688589935,95
Henry County,Iowa,5573,27929.23724566503,74
Howard County,Iowa,2077,22679.624372133654,35
Humboldt County,Iowa,2635,27568.52898095836,38
Ida County,Iowa,1831,26690.962099125365,49
Iowa County,Iowa,3711,22930.05437469105,50
Jackson County,Iowa,4644,23890.117804413807,69
Jasper County,Iowa,8707,23415.355654161624,110
Jefferson County,Iowa,3513,19201.96775075157,51
Johnson County,Iowa,35541,23515.283842794757,153
Jones County,Iowa,5511,26647.647599245684,73
Keokuk County,Iowa,2085,20349.404645715404,48
Kossuth County,Iowa,3783,25538.37845136029,88
Lee County,Iowa,7880,23412.663041863507,142
Linn County,Iowa,53125,23433.433610050022,583
Louisa County,Iowa,2497,22628.00181241504,62
Lucas County,Iowa,1763,20500.0,32
Lyon County,Iowa,2747,23368.77924287537,50
Madison County,Iowa,3181,19469.94736197821,40
Mahaska County,Iowa,4934,22330.844082371575,87
Marion County,Iowa,7590,22825.008269930535,125
Marshall County,Iowa,9488,24100.18034494145,112
Mills County,Iowa,3365,22271.49381163545,41
Mitchell County,Iowa,2519,23795.57906669186,49
Monona County,Iowa,1723,20000.0,48
Monroe County,Iowa,1882,24419.359024263656,49
Montgomery County,Iowa,2216,22345.46737924776,55
Muscatine County,Iowa,9699,22733.452090755673,131
O'Brien County,Iowa,3457,25136.33389078746,71
Osceola County,Iowa,1394,23397.113125209802,22
Page County,Iowa,3339,22102.336665122126,46
Palo Alto County,Iowa,2048,23047.49043439118,38
Plymouth County,Iowa,6330,25141.99467768201,100
Pocahontas County,Iowa,1608,24293.699954675933,27
Polk County,Iowa,126409,25789.28148098278,1105
Pottawattamie County,Iowa,24382,26159.260133467804,319
Poweshiek County,Iowa,3728,20146.995244271508,61
Ringgold County,Iowa,1135,23191.663261136087,34
Sac County,Iowa,2412,24812.262112951343,33
Scott County,Iowa,41418,23948.931150725963,395
Shelby County,Iowa,2724,23782.084861183866,50
Sioux County,Iowa,7987,22914.933295079612,87
Story County,Iowa,19980,20573.12314012995,90
Tama County,Iowa,3925,23288.240180372613,90
Taylor County,Iowa,1316,21499.75494200294,22
Union County,Iowa,2720,22220.406829507392,51
Van Buren County,Iowa,1382,19619.534355479842,27
Wapello County,Iowa,9003,25745.660442105866,204
Warren County,Iowa,12591,24464.695138538063,134
Washington County,Iowa,5681,25863.874345549735,79
Wayne County,Iowa,1271,19732.960720385036,33
Webster County,Iowa,10384,28921.56862745098,164
Winnebago County,Iowa,2984,28819.779795248214,47
Winneshiek County,Iowa,3906,19538.79245660547,50
Woodbury County,Iowa,28838,27969.003074476033,339
Worth County,Iowa,1781,24129.521745021,17
Wright County,Iowa,3626,28864.830441012575,63
Allen County,Kansas,3989,32249.979788180128,53
Anderson County,Kansas,2133,27144.311529651313,29
Atchison County,Kansas,4323,26896.036831954207,34
Barber County,Kansas,1043,23559.97289360741,8
Barton County,Kansas,6508,25245.354746111174,96
Bourbon County,Kansas,4391,30211.916884546583,52
Brown County,Kansas,2735,28596.82141363446,46
Butler County,Kansas,19104,28551.359268281747,184
Chase County,Kansas,673,25415.407854984893,7
Chautauqua County,Kansas,844,25969.23076923077,17
Cherokee County,Kansas,6158,30884.196800240734,84
Cheyenne County,Kansas,652,24538.953707188557,14
Clark County,Kansas,504,25275.82748244734,8
Clay County,Kansas,1985,24806.298425393652,35
Cloud County,Kansas,2219,25256.089232870476,36
Coffey County,Kansas,2435,29771.36569262746,42
Comanche County,Kansas,441,25941.176470588234,16
Cowley County,Kansas,10194,29202.475077346167,152
Crawford County,Kansas,11966,30825.905507754134,128
Decatur County,Kansas,620,21931.37601697913,20
Dickinson County,Kansas,4815,26074.94855409943,78
Doniphan County,Kansas,2456,32315.78947368421,34
Douglas County,Kansas,26957,22049.092500347622,136
Edwards County,Kansas,556,19871.33666904932,13
Elk County,Kansas,571,22569.169960474308,10
Ellis County,Kansas,7165,25093.685427100478,81
Ellsworth County,Kansas,2016,33038.34808259587,32
Finney County,Kansas,11282,30937.559985740532,112
Ford County,Kansas,10629,31616.050447663525,113
Franklin County,Kansas,7018,27474.162229877857,81
Geary County,Kansas,9262,29245.342595516264,75
Gove County,Kansas,790,29969.650986342942,23
Graham County,Kansas,572,23045.930701047542,15
Grant County,Kansas,2206,30853.146853146856,36
Gray County,Kansas,1236,20641.28256513026,23
Greeley County,Kansas,331,26866.883116883117,3
Greenwood County,Kansas,1807,30207.288532263457,23
Hamilton County,Kansas,464,18274.91138243403,3
Harper County,Kansas,1654,30426.784400294335,27
Harvey County,Kansas,9636,27988.033343983272,123
Haskell County,Kansas,964,24294.354838709678,11
Hodgeman County,Kansas,411,22909.698996655516,10
Jackson County,Kansas,3908,29671.2474375522,29
Jefferson County,Kansas,4832,25374.1532321588,61
Jewell County,Kansas,788,27370.614796804446,13
Johnson County,Kansas,148890,24716.09442879411,1199
Kearny County,Kansas,1236,32204.27305888484,20
Kingman County,Kansas,1967,27502.796420581657,28
Kiowa County,Kansas,667,26949.494949494947,7
Labette County,Kansas,6636,33826.07809154858,74
Lane County,Kansas,296,19283.387622149836,12
Leavenworth County,Kansas,19619,23996.428484062722,183
Lincoln County,Kansas,623,21033.085752869683,10
Linn County,Kansas,2827,29135.318973513346,28
Logan County,Kansas,844,30207.587687902647,13
Lyon County,Kansas,10084,30378.068986293114,120
Marion County,Kansas,3337,28079.771120834735,43
Marshall County,Kansas,2559,26362.41887297826,42
McPherson County,Kansas,7852,27510.335645715088,126
Meade County,Kansas,1221,30275.229357798165,20
Miami County,Kansas,7865,22972.22303356018,93
Mitchell County,Kansas,1428,23883.59257400903,22
Montgomery County,Kansas,9448,29683.62185428383,154
Morris County,Kansas,1513,26921.70818505338,28
Morton County,Kansas,621,24004.638577502898,11
Nemaha County,Kansas,3243,31697.781253054443,60
Neosho County,Kansas,5168,32285.87492971825,66
Ness County,Kansas,780,28363.636363636364,18
Norton County,Kansas,2153,40160.41783249394,37
Osage County,Kansas,3946,24741.363094864882,49
Osborne County,Kansas,803,23472.66881028939,17
Ottawa County,Kansas,1210,21213.18373071529,17
Pawnee County,Kansas,2138,33333.33333333333,24
Phillips County,Kansas,1358,25945.739396255256,30
Pottawatomie County,Kansas,5785,23725.546487306732,55
Pratt County,Kansas,1931,21071.58446093409,30
Rawlins County,Kansas,683,26996.04743083004,9
Reno County,Kansas,18632,30052.58234136585,228
Republic County,Kansas,1354,29206.21225194133,16
Rice County,Kansas,2614,27409.038481702843,23
Riley County,Kansas,13711,18470.470955921974,81
Rooks County,Kansas,1377,27987.80487804878,20
Rush County,Kansas,808,26613.965744400524,18
Russell County,Kansas,1883,27464.994165694283,37
Saline County,Kansas,14159,26112.05370315727,239
Scott County,Kansas,1277,26477.296288617043,34
Sedgwick County,Kansas,145517,28198.673751361323,1360
Seward County,Kansas,6916,32275.52734739593,59
Shawnee County,Kansas,48858,27622.897526501765,612
Sheridan County,Kansas,786,31178.10392701309,18
Sherman County,Kansas,1514,25587.290856853135,20
Smith County,Kansas,645,18001.674574379012,7
Stafford County,Kansas,1139,27406.159769008664,26
Stanton County,Kansas,427,21286.141575274178,8
Stevens County,Kansas,1465,26709.206927985415,20
Sumner County,Kansas,5724,25065.685759327378,70
Thomas County,Kansas,2394,30783.07830783078,28
Trego County,Kansas,756,26971.102390296113,10
Wabaunsee County,Kansas,1642,23690.665127687203,22
Wallace County,Kansas,438,28853.75494071146,5
Washington County,Kansas,1400,25897.15131335553,22
Wichita County,Kansas,493,23265.691363850874,8
Wilson County,Kansas,2828,33173.02052785923,43
Woodson County,Kansas,796,25366.475462077757,15
Wyandotte County,Kansas,47365,28631.61839822522,477
Adair County,Kentucky,5929,30876.991980002083,107
Allen County,Kentucky,6601,30968.801313628897,107
Anderson County,Kentucky,6620,29102.738822701893,70
Ballard County,Kentucky,1387,17583.67139959432,29
Barren County,Kentucky,13032,29451.513028543017,219
Bath County,Kentucky,3210,25680.0,48
Bell County,Kentucky,8868,34065.76521204671,149
Boone County,Kentucky,37686,28212.096031621266,297
Bourbon County,Kentucky,6002,30331.514048918536,59
Boyd County,Kentucky,16369,35037.88689584315,177
Boyle County,Kentucky,8473,28186.959414504327,132
Bracken County,Kentucky,2186,26327.833313260264,26
Breathitt County,Kentucky,3801,30095.01187648456,54
Breckinridge County,Kentucky,5170,25247.839038921717,78
Bullitt County,Kentucky,21805,26696.948920123414,223
Butler County,Kentucky,3874,30079.975153350417,54
Caldwell County,Kentucky,4158,32619.439868204285,61
Calloway County,Kentucky,8414,21573.805799851285,94
Campbell County,Kentucky,23343,24943.366387416652,178
Carlisle County,Kentucky,1076,22605.04201680672,20
Carroll County,Kentucky,3504,32960.210704543315,45
Carter County,Kentucky,8675,32373.02683136172,107
Casey County,Kentucky,4216,26090.723435856176,74
Christian County,Kentucky,16376,23241.22564255404,210
Clark County,Kentucky,10749,29641.78363621322,68
Clay County,Kentucky,7867,39530.67685040953,92
Clinton County,Kentucky,3674,35956.15580348404,52
Crittenden County,Kentucky,2292,26027.708380649558,50
Cumberland County,Kentucky,2238,33837.31478681584,33
Daviess County,Kentucky,31176,30711.942548098235,391
Edmonson County,Kentucky,2563,21094.650205761318,47
Elliott County,Kentucky,2594,34508.44751895703,19
Estill County,Kentucky,4120,29207.42946264001,50
Fayette County,Kentucky,95993,29705.21612120612,609
Fleming County,Kentucky,3928,26939.167409642687,59
Floyd County,Kentucky,12571,35322.71207395544,206
Franklin County,Kentucky,13911,27281.28493263517,153
Fulton County,Kentucky,1218,20405.428044898643,31
Gallatin County,Kentucky,2221,25042.28210621265,51
Garrard County,Kentucky,4815,27255.74549983018,78
Grant County,Kentucky,7177,28628.984004148548,60
Graves County,Kentucky,11355,30470.133633875383,181
Grayson County,Kentucky,8014,30325.04635410754,134
Green County,Kentucky,3761,34375.28562288639,45
Greenup County,Kentucky,12124,34543.27881930594,145
Hancock County,Kentucky,2498,28640.220132997016,25
Hardin County,Kentucky,32778,29540.90737035635,434
Harlan County,Kentucky,9222,35455.5940023068,211
Harrison County,Kentucky,6417,33977.54950757175,76
Hart County,Kentucky,5428,28515.89177830313,101
Henderson County,Kentucky,13972,30904.66710904667,168
Henry County,Kentucky,4836,29988.83790152549,52
Hickman County,Kentucky,879,20068.49315068493,27
Hopkins County,Kentucky,14974,33509.376538513185,254
Jackson County,Kentucky,4286,32155.450521419465,80
Jefferson County,Kentucky,228182,29759.363135908767,2357
Jessamine County,Kentucky,15289,28252.79497366719,139
Johnson County,Kentucky,6173,27821.344871101497,118
Kenton County,Kentucky,42633,25529.048252074874,415
Knott County,Kentucky,4233,28589.760907740107,64
Knox County,Kentucky,11523,36997.91298763846,144
Larue County,Kentucky,3741,25982.775385470206,73
Laurel County,Kentucky,20315,33405.68628418266,242
Lawrence County,Kentucky,4503,29398.707318665536,69
Lee County,Kentucky,2951,39862.21801972174,52
Leslie County,Kentucky,3723,37693.63166953529,49
Letcher County,Kentucky,7140,33127.63884378045,114
Lewis County,Kentucky,4529,34116.760828625236,86
Lincoln County,Kentucky,6487,26424.701617173814,137
Livingston County,Kentucky,2482,26995.86686969763,61
Logan County,Kentucky,8369,30879.639878975722,126
Lyon County,Kentucky,2881,35091.35200974421,34
Madison County,Kentucky,27833,29932.14105197501,280
Magoffin County,Kentucky,3950,32480.88150645506,51
Marion County,Kentucky,6433,33378.301250454,85
Marshall County,Kentucky,8421,27077.17041800643,112
Martin County,Kentucky,3308,29548.90576150067,49
Mason County,Kentucky,5017,29390.743995313416,105
McCracken County,Kentucky,18502,28282.73563850928,263
McCreary County,Kentucky,5727,33236.60843827984,82
McLean County,Kentucky,2622,28478.331704138156,54
Meade County,Kentucky,5821,20373.092538149238,66
Menifee County,Kentucky,1706,26290.645708121436,32
Mercer County,Kentucky,7401,33743.67391601696,106
Metcalfe County,Kentucky,2875,28547.314070102275,64
Monroe County,Kentucky,3624,34028.16901408451,77
Montgomery County,Kentucky,8200,29122.420712433854,108
Morgan County,Kentucky,5272,39612.29243369148,28
Muhlenberg County,Kentucky,10190,33276.72914897786,121
Nelson County,Kentucky,14507,31378.020028983625,153
Nicholas County,Kentucky,2105,28958.591278029988,31
Ohio County,Kentucky,7313,30478.452946569978,103
Oldham County,Kentucky,18515,27717.48080061079,145
Owen County,Kentucky,2370,21741.124667461703,34
Owsley County,Kentucky,1574,35651.189127972815,27
Pendleton County,Kentucky,3498,23975.32556545579,38
Perry County,Kentucky,11040,42860.47053342651,178
Pike County,Kentucky,19099,32999.861773446675,307
Powell County,Kentucky,4782,38692.45084553766,44
Pulaski County,Kentucky,18157,27942.87385155204,293
Robertson County,Kentucky,672,31878.557874762806,21
Rockcastle County,Kentucky,5059,30302.48577418389,59
Rowan County,Kentucky,6739,27551.103843008994,69
Russell County,Kentucky,6446,35964.96122300954,87
Scott County,Kentucky,17723,31090.800645568732,109
Shelby County,Kentucky,13410,27353.94908616188,162
Simpson County,Kentucky,5635,30341.374111565798,94
Spencer County,Kentucky,5384,27822.85153222056,59
Taylor County,Kentucky,9492,36834.956730955804,124
Todd County,Kentucky,2982,24255.73450463641,43
Trigg County,Kentucky,4016,27411.098218551633,44
Trimble County,Kentucky,2217,26171.64443395113,40
Union County,Kentucky,4341,30185.661636882,57
Warren County,Kentucky,43102,32432.879845894535,372
Washington County,Kentucky,3967,32798.67713931377,61
Wayne County,Kentucky,6107,30034.918605223036,92
Webster County,Kentucky,3914,30242.62092412301,49
Whitley County,Kentucky,14412,39741.89278623428,199
Wolfe County,Kentucky,2531,35363.979320944534,28
Woodford County,Kentucky,6978,26101.593476471906,49
Acadia Parish,Louisiana,15906,25636.231767265697,294
Allen Parish,Louisiana,7880,30748.819604323566,141
Ascension Parish,Louisiana,35030,27668.952007835454,293
Assumption Parish,Louisiana,5575,25467.086930702117,70
Avoyelles Parish,Louisiana,11600,28895.974491829413,208
Beauregard Parish,Louisiana,9271,24724.644638237725,143
Bienville Parish,Louisiana,3992,30148.780303602445,110
Bossier Parish,Louisiana,37689,29667.26753201773,494
Caddo Parish,Louisiana,67560,28126.092821102065,1156
Calcasieu Parish,Louisiana,54862,26967.69499990169,706
Caldwell Parish,Louisiana,3625,36549.70760233918,55
Cameron Parish,Louisiana,1199,17194.894593431807,8
Catahoula Parish,Louisiana,2700,28439.014114177375,55
Claiborne Parish,Louisiana,3280,20931.716656030632,78
Concordia Parish,Louisiana,5103,26496.70284023054,89
De Soto Parish,Louisiana,7362,26806.97665950552,135
East Baton Rouge Parish,Louisiana,111670,25376.142744495624,1349
East Carroll Parish,Louisiana,2538,36991.6921731526,38
East Feliciana Parish,Louisiana,7324,38275.4115495166,170
Evangeline Parish,Louisiana,8398,25147.477167240602,159
Franklin Parish,Louisiana,7352,36732.450662003495,178
Grant Parish,Louisiana,5861,26178.033855911384,94
Iberia Parish,Louisiana,19149,27422.311327509666,263
Iberville Parish,Louisiana,9023,27753.683368705977,153
Jackson Parish,Louisiana,4409,28004.31910569106,76
Jefferson Davis Parish,Louisiana,6942,22130.83397092578,157
Jefferson Parish,Louisiana,115373,26676.26990494644,1341
Lafayette Parish,Louisiana,62873,25726.5027210606,500
Lafourche Parish,Louisiana,27889,28570.696826274918,372
Lincoln Parish,Louisiana,12269,26248.34196226092,144
Livingston Parish,Louisiana,37238,26449.509549751754,466
Madison Parish,Louisiana,3264,29805.497214866224,59
Morehouse Parish,Louisiana,6871,27623.221034011418,134
Natchitoches Parish,Louisiana,10162,26631.374810000525,167
Orleans Parish,Louisiana,90328,23152.477034120733,1109
Ouachita Parish,Louisiana,50769,33121.954083729666,754
Plaquemines Parish,Louisiana,6509,28059.66288744234,45
Pointe Coupee Parish,Louisiana,6297,28978.37091578463,94
Rapides Parish,Louisiana,32791,25292.33000123411,577
Red River Parish,Louisiana,2112,25017.768301350392,53
Richland Parish,Louisiana,6732,33455.91889474207,97
Sabine Parish,Louisiana,6343,26557.528052252554,113
